母核素,半衰期,子核素,分支比,衰变模式
Eu150,1164475440,Sm-150,1,β+ & EC
Eu152,426564079.2,Sm-152,0.721,β+ & EC
Eu152,426564079.2,Gd-152,0.279,β-
Eu154,271426917.6,Gd-154,0.9998,β-
Eu154,271426917.6,Sm-154,0.0002,EC
Eu155,149993272.8,Gd-155,1,β-
Eu156,1312416,Gd-156,1,β-
Eu157,54648,Gd-157,1,β-
Eu158,2754,Gd-158,1,β-
Eu159,1086,Gd-159,1,β-
Gd142,70.2,Eu-142,1,β+ & EC
Gd144,268.2,Eu-144,1,β+ & EC
Gd145,1380,Eu-145,1,β+ & EC
Gd146,4170528,Eu-146,1,EC
Gd147,137016,Eu-147,1,β+ & EC
Gd148,2243745360,Sm-144,1,α
Gd149,801792,Eu-149,1,β+ & EC
Gd150,5.64881E+13,Sm-146,1,α
Gd151,10704960,Eu-151,1,EC
Gd151,10704960,Sm-147,1.00E-08,α
Gd152,3.41E+21,Sm-148,1,α
Gd153,20770560,Eu-153,1,EC
Gd159,66524.4,Tb-159,1,β-
Gd162,504,Tb-162,1,β-
Tb146,8,Gd-146,1,β+ & EC
Tb147,5904,Gd-147,1,β+ & EC
Tb148,3600,Gd-148,1,β+ & EC
Tb149,14824.8,Gd-149,0.833,β+ & EC
Tb149,14824.8,Eu-145,0.167,α
Tb150,12528,Gd-150,1,β+ & EC
Tb150,12528,Eu-146,7.00E-06,α
Tb151,63392.4,Gd-151,1,β+ & EC
Tb151,63392.4,Eu-147,9.50E-05,α
Tb152,63000,Gd-152,1,β+ & EC
Tb153,202176,Gd-153,1,β+ & EC
Tb154,77400,Gd-154,1,β+ & EC
Tb155,459648,Gd-155,1,EC
Tb156,462240,Gd-156,1,EC
Tb157,2240589600,Gd-157,1,EC
Tb158,5680368000,Gd-158,0.834,EC
Tb158,5680368000,Dy-158,0.166,β-
Tb160,6246720,Dy-160,1,β-
Tb161,595296,Dy-161,1,β-
Tb162,456,Dy-162,1,β-
Tb163,1170,Dy-163,1,β-
Tb164,180,Dy-164,1,β-
Tb165,126.6,Dy-165m,0.89028,β-
Tb165,126.6,Dy-165,0.10972,β-
Dy148,198,Tb-148,1,β+ & EC
Dy149,252,Tb-149,0.56682,β+ & EC
Dy149,252,Tb-149m,0.43318,β+ & EC
Dy150,430.2,Tb-150,0.64,β+ & EC
Dy150,430.2,Gd-146,0.36,α
Dy151,1074,Tb-151,0.53377,β+ & EC
Dy151,1074,Tb-151m,0.41023,β+ & EC
Dy151,1074,Gd-147,0.056,α
Dy152,8568,Tb-152,0.999,EC
Dy152,8568,Gd-148,0.001,α
Dy153,23040,Tb-153,1,β+ & EC
Dy153,23040,Gd-149,9.40E-05,α
Dy154,9.46728E+13,Gd-150,1,α
Dy155,35640,Tb-155,1,β+ & EC
Dy157,29304,Tb-157,1,EC
Dy159,12476160,Tb-159,1,EC
Dy165,8402.4,Ho-165,1,β-
Dy166,293760,Ho-166,1,β-
Dy167,372,Ho-167,1,β-
Dy168,522,Ho-168,1,β-
Ho150,72,Dy-150,1,β+ & EC
Ho153,120.6,Dy-153,0.99949,β+ & EC
Ho153,120.6,Tb-149m,0.00051,α
Ho154,705.6,Dy-154,0.99981,β+ & EC
Ho154,705.6,Tb-150,0.00019,α
Ho155,2880,Dy-155,1,β+ & EC
Ho156,3360,Dy-156,1,β+ & EC
Ho157,756,Dy-157,1,β+ & EC
Ho159,1983,Dy-159,1,β+ & EC
Ho160,1536,Dy-160,1,β+ & EC
Ho161,8928,Dy-161,1,EC
Ho162,900,Dy-162,1,β+ & EC
Ho163,1.44218E+11,Dy-163,1,EC
Ho164,1740,Dy-164,0.6,EC
Ho164,1740,Er-164,0.4,β-
Ho166,96566.4,Er-166,1,β-
Ho167,10810.8,Er-167,1,β-
Ho168,179.4,Er-168,1,β-
Ho170,165.6,Er-170,1,β-
Er154,223.8,Ho-154,0.9953,β+ & EC
Er154,223.8,Dy-150,0.0047,α
Er156,1170,Ho-156,1,EC
Er159,2160,Ho-159,1,β+ & EC
Er161,11556,Ho-161,1,β+ & EC
Er163,4500,Ho-163,1,β+ & EC
Er165,37296,Ho-165,1,EC
Er169,811468.8,Tm-169,1,β-
Er171,27057.6,Tm-171,1,β-
Er172,177480,Tm-172,1,β-
Er173,84,Tm-173,1,β-
Tm161,1812,Er-161,1,β+ & EC
Tm162,1302,Er-162,1,β+ & EC
Tm163,6516,Er-163,1,β+ & EC
Tm164,120,Er-164,1,β+ & EC
Tm165,108216,Er-165,1,β+ & EC
Tm166,27720,Er-166,1,β+ & EC
Tm167,799200,Er-167,1,EC
Tm168,8043840,Er-168,0.9999,β+ & EC
Tm168,8043840,Yb-168,0.0001,β-
Tm170,11111040,Yb-170,0.99869,β-
Tm170,11111040,Er-170,0.00131,EC
Tm171,60590592,Yb-171,1,β-
Tm172,228960,Yb-172,1,β-
Tm173,29664,Yb-173,1,β-
Tm174,324,Yb-174,1,β-
Tm175,912,Yb-175,1,β-
Tm176,114,Yb-176,1,β-
Yb162,1132.2,Tm-162,1,β+ & EC
Yb163,663,Tm-163,1,β+ & EC
Yb164,4548,Tm-164,1,EC
Yb165,594,Tm-165,1,β+ & EC
Yb166,204120,Tm-166,1,EC
Yb167,1050,Tm-167,1,β+ & EC
Yb169,2766355.2,Tm-169,1,EC
Yb175,361584,Lu-175,1,β-
Yb177,6879.6,Lu-177,1,β-
Yb178,4440,Lu-178,1,β-
Yb179,480,Lu-179,1,β-
Lu165,644.4,Yb-165,1,β+ & EC
Lu167,3090,Yb-167,1,β+ & EC
Lu169,122616,Yb-169,1,β+ & EC
Lu170,173836.8,Yb-170,1,β+ & EC
Lu171,711936,Yb-171,1,β+ & EC
Lu172,578880,Yb-172,1,β+ & EC
Lu173,43233912,Yb-173,1,EC
Lu174,104455656,Yb-174,1,β+ & EC
Lu176,1.19E+18,Hf-176,1,β-
Lu177,574300.8,Hf-177,1,β-
Lu178,1704,Hf-178,1,β-
Lu179,16524,Hf-179,1,β-
Lu180,342,Hf-180,1,β-
Lu181,210,Hf-181,1,β-
Hf167,123,Lu-167,1,β+ & EC
Hf169,194.4,Lu-169,0.96904,β+ & EC
Hf169,194.4,Lu-169m,0.03096,β+ & EC
Hf170,57636,Lu-170,1,EC
Hf172,59012712,Lu-172m,1,EC
Hf173,84960,Lu-173,1,β+ & EC
Hf174,6.31E+22,Yb-170,1,α
Hf175,6048000,Lu-175,1,EC
Hf181,3662496,Ta-181,1,β-
Hf182,2.80863E+14,Ta-182,1,β-
Hf183,3664.8,Ta-183,1,β-
Hf184,14832,Ta-184,1,β-
Ta170,405.6,Hf-170,1,β+ & EC
Ta172,2208,Hf-172,1,β+ & EC
Ta173,11304,Hf-173,1,β+ & EC
Ta174,4104,Hf-174,1,β+ & EC
Ta175,37800,Hf-175,1,β+ & EC
Ta176,29124,Hf-176,1,β+ & EC
Ta177,203616,Hf-177,1,EC
Ta178,558.6,Hf-178,1,β+ & EC
Ta179,57434832,Hf-179,1,EC
Ta180,29354.4,Hf-180,0.86,EC
Ta180,29354.4,W-180,0.14,β-
Ta182,9913536,W-182,1,β-
Ta183,440640,W-183,1,β-
Ta184,31320,W-184,1,β-
Ta185,2964,W-185,1,β-
Ta186,630,W-186,1,β-
W177,7920,Ta-177,1,β+ & EC
W178,1866240,Ta-178,1,EC
W179,2223,Ta-179,1,EC
W181,10471680,Ta-181,1,EC
W185,6488640,Re-185,1,β-
W187,86400,Re-187,1,β-
W188,6028992,Re-188,1,β-
W190,1800,Re-190,1,β-
Re178,792,W-178,1,β+ & EC
Re179,1170,W-179,0.76079,β+ & EC
Re179,1170,W-179m,0.23921,β+ & EC
Re180,147.6,W-180,1,β+ & EC
Re181,71640,W-181,1,β+ & EC
Re182,231120,W-182,1,EC
Re183,6048000,W-183,1,EC
Re184,3058560,W-184,1,β+ & EC
Re186,321287.04,Os-186,0.9253,β-
Re186,321287.04,W-186,0.0747,EC
Re187,1.37E+18,Os-187,1,β-
Re188,61210.8,Os-188,1,β-
Re189,87480,Os-189,0.87789,β-
Re189,87480,Os-189m,0.12211,β-
Re190,186,Os-190,1,β-
Os180,1290,Re-180,1,β+ & EC
Os181,6300,Re-181,1,β+ & EC
Os182,78624,Re-182m,1,EC
Os183,46800,Re-183,1,β+ & EC
Os185,8087040,Re-185,1,EC
Os186,6.31E+22,W-182,1,α
Os191,1330560,Ir-191,1,β-
Os193,108396,Ir-193,0.99652,β-
Os193,108396,Ir-193m,0.0034757,β-
Os194,189345600,Ir-194,1,β-
Os196,2094,Ir-196,1,β-
Ir180,90,Os-180,1,β+ & EC
Ir182,900,Os-182,1,β+ & EC
Ir183,3480,Os-183m,0.70972,β+ & EC
Ir183,3480,Os-183,0.29028,β+ & EC
Ir184,11124,Os-184,1,β+ & EC
Ir185,51840,Os-185,1,β+ & EC
Ir186,59904,Os-186,1,β+ & EC
Ir187,37800,Os-187,1,β+ & EC
Ir188,149400,Os-188,1,β+ & EC
Ir189,1140480,Os-189,0.92574,EC
Ir189,1140480,Os-189m,0.074264,EC
Ir190,1017792,Os-190,1,EC
Ir192,6378825.6,Pt-192,0.9513,β-
Ir192,6378825.6,Os-192,0.0487,EC
Ir194,69408,Pt-194,1,β-
Ir195,8244,Pt-195,1,β-
Ir196,52,Pt-196,1,β-
Pt184,1038,Ir-184,1,β+ & EC
Pt184,1038,Os-180,1.70E-05,α
Pt186,7488,Ir-186m,0.81942,EC
Pt186,7488,Ir-186,0.18058,EC
Pt186,7488,Os-182,1.00E-06,α
Pt187,8460,Ir-187,1,β+ & EC
Pt188,881280,Ir-188,1,EC
Pt188,881280,Os-184,2.90E-07,α
Pt189,39132,Ir-189,1,β+ & EC
Pt190,2.05E+19,Os-186,1,α
Pt191,244512,Ir-191,1,EC
Pt193,1577880000,Ir-193,1,EC
Pt197,71609.4,Au-197,1,β-
Pt199,1848,Au-199,1,β-
Pt200,45360,Au-200,1,β-
Pt202,158400,Au-202,1,β-
Au186,642,Pt-186,1,β+ & EC
Au187,504,Pt-187,1,β+ & EC
Au187,504,Ir-183,3.00E-05,α
Au190,2568,Pt-190,1,β+ & EC
Au191,11448,Pt-191,1,β+ & EC
Au192,17784,Pt-192,1,β+ & EC
Au193,63540,Pt-193,1,EC
Au194,136872,Pt-194,1,β+ & EC
Au195,16071264,Pt-195,1,EC
Au196,532820.16,Pt-196,0.928,EC
Au196,532820.16,Hg-196,0.072,β-
Au198,232770.24,Hg-198,1,β-
Au199,271209.6,Hg-199,1,β-
Au200,2904,Hg-200,1,β-
Au201,1560,Hg-201,1,β-
Au202,28.4,Hg-202,1,β-
Hg190,1200,Au-190,1,β+ & EC
Hg192,17460,Au-192,1,EC
Hg193,13680,Au-193,0.96459,β+ & EC
Hg193,13680,Au-193m,0.035408,β+ & EC
Hg194,14011574400,Au-194,1,EC
Hg195,37908,Au-195,1,β+ & EC
Hg197,230904,Au-197,1,EC
Hg203,4025721.6,Tl-203,1,β-
Hg205,308.4,Tl-205,1,β-
Hg206,499.2,Tl-206,1,β-
Hg207,174,Tl-207,1,β-
Tl190,156,Hg-190,1,β+ & EC
Tl194,1980,Hg-194,1,β+ & EC
Tl195,4176,Hg-195,0.99656,β+ & EC
Tl195,4176,Hg-195m,0.0034358,β+ & EC
Tl196,6624,Hg-196,1,β+ & EC
Tl197,10224,Hg-197,1,β+ & EC
Tl198,19080,Hg-198,1,β+ & EC
Tl199,26712,Hg-199,1,β+ & EC
Tl200,93960,Hg-200,1,β+ & EC
Tl201,262837.44,Hg-201,1,EC
Tl202,1063584,Hg-202,1,EC
Tl204,119382400.8,Pb-204,0.971,β-
Tl204,119382400.8,Hg-204,0.029,EC
Tl206,252.12,Pb-206,1,β-
Tl207,286.2,Pb-207,1,β-
Tl208,183.18,Pb-208,1,β-
Tl209,129.72,Pb-209,1,β-
Tl210,78,Pb-210,1,β-
Pb194,642,Tl-194,1,β+ & EC
Pb194,642,Hg-190,7.30E-08,α
Pb196,2220,Tl-196,1,β+ & EC
Pb197,486,Tl-197,1,β+ & EC
Pb198,8640,Tl-198,1,EC
Pb199,5400,Tl-199,1,β+ & EC
Pb200,77400,Tl-200,1,EC
Pb201,33588,Tl-201,1,β+ & EC
Pb202,1.65677E+12,Tl-202,0.99,EC
Pb202,1.65677E+12,Hg-198,0.01,α
Pb203,186912,Tl-203,1,EC
Pb205,5.45946E+14,Tl-205,1,EC
Pb209,11642.4,Bi-209,1,β-
Pb210,700578720,Bi-210,1,β-
Pb210,700578720,Hg-206,1.90E-08,α
Pb211,2166,Bi-211,1,β-
Pb212,38304,Bi-212,1,β-
Pb214,1623.6,Bi-214,1,β-
Bi197,559.8,Pb-197,0.56103,β+ & EC
Bi197,559.8,Pb-197m,0.43897,β+ & EC
Bi200,2184,Pb-200,1,β+ & EC
Bi201,6180,Pb-201,0.54833,β+ & EC
Bi201,6180,Pb-201m,0.45167,β+ & EC
Bi202,6156,Pb-202,1,β+ & EC
Bi203,42336,Pb-203,1,β+ & EC
Bi204,40392,Pb-204,0.90148,β+ & EC
Bi204,40392,Pb-204m,0.098525,β+ & EC
Bi205,1322784,Pb-205,1,β+ & EC
Bi206,539395.2,Pb-206,1,β+ & EC
Bi207,995642280,Pb-207,1,β+ & EC
Bi208,1.16132E+13,Pb-208,1,EC
Bi210,433036.8,Po-210,1,β-
Bi210,433036.8,Tl-206,1.32E-06,α
Bi211,128.4,Tl-207,0.99724,α
Bi211,128.4,Po-211,0.00276,β-
Bi212,3633,Po-212,0.6406,β-
Bi212,3633,Tl-208,0.3594,α
Bi213,2736.6,Po-213,0.9791,β-
Bi213,2736.6,Tl-209,0.0209,α
Bi214,1194,Po-214,0.99979,β-
Bi214,1194,Tl-210,0.00021,α
Bi215,456,Po-215,1,β-
Bi216,135,Po-216,1,β-
Po203,2202,Bi-203,0.9989,β+ & EC
Po203,2202,Pb-199,0.0011,α
Po204,12668.4,Bi-204,0.9934,EC
Po204,12668.4,Pb-200,0.0066,α
Po205,6264,Bi-205,0.999,β+ & EC
Po205,6264,Pb-201,0.0004,α
Po206,760320,Bi-206,0.9455,EC
Po206,760320,Pb-202,0.0545,α
Po207,20880,Bi-207,0.99979,β+ & EC
Po207,20880,Pb-203,0.00021,α
Po208,91453924.8,Pb-204,0.99998,α
Po208,91453924.8,Bi-208,2.23E-05,EC
Po209,3913142400,Pb-205,0.9952,α
Po209,3913142400,Bi-209,0.0048,EC
Po210,11955686.4,Pb-206,1,α
Po211,0.516,Pb-207,1,α
Po212,2.99E-07,Pb-208,1,α
Po213,3.72E-06,Pb-209,1,α
Po214,0.0001636,Pb-210,1,α
Po215,0.001781,Pb-211,1,α
Po216,0.145,Pb-212,1,α
Po218,185.88,Pb-214,0.9998,α
Po218,185.88,At-218,0.0002,β-
At204,547.2,Po-204,0.962,β+ & EC
At204,547.2,Bi-200,0.038,α
At205,1614,Po-205,0.9,β+ & EC
At205,1614,Bi-201,0.1,α
At206,1836,Po-206,0.9911,β+ & EC
At206,1836,Bi-202,0.0089,α
At207,6516,Po-207,0.914,β+ & EC
At207,6516,Bi-203,0.086,α
At208,5868,Po-208,0.9945,β+ & EC
At208,5868,Bi-204,0.0055,α
At209,19512,Po-209,0.959,β+ & EC
At209,19512,Bi-205,0.041,α
At210,29160,Po-210,0.99825,β+ & EC
At210,29160,Bi-206,0.00175,α
At211,25970.4,Po-211,0.582,EC
At211,25970.4,Bi-207,0.418,α
At215,0.0001,Bi-211,1,α
At216,0.0003,Bi-212,1,α
At217,0.0323,Bi-213,0.99988,α
At218,1.5,Bi-214,0.999,α
At218,1.5,Rn-218,0.001,β-
At219,56,Bi-215,0.97,α
At220,222.6,Rn-220,0.92,β-
At220,222.6,Bi-216,0.08,α
Rn207,555,At-207,0.79,β+ & EC
Rn207,555,Po-203,0.21,α
Rn209,1728,At-209,0.83,β+ & EC
Rn209,1728,Po-205,0.17,α
Rn210,8640,Po-206,0.96,α
Rn210,8640,At-210,0.04,EC
Rn211,52560,At-211,0.726,β+ & EC
Rn211,52560,Po-207,0.274,α
Rn212,1434,Po-208,1,α
Rn215,2.30E-06,Po-211,1,α
Rn216,4.50E-05,Po-212,1,α
Rn217,0.00054,Po-213,1,α
Rn218,0.035,Po-214,1,α
Rn219,3.96,Po-215,1,α
Rn220,55.6,Po-216,1,α
Rn222,330350.4,Po-218,1,α
Rn223,1458,Fr-223,1,β-
Fr212,1200,Rn-212,0.57,β+ & EC
Fr212,1200,At-208,0.43,α
Fr219,0.02,At-215,1,α
Fr220,27.4,At-216,0.9965,α
Fr220,27.4,Ra-220,0.0035,β-
Fr221,286.1,At-217,1,α
Fr222,852,Ra-222,1,β-
Fr223,1320,Ra-223,1,β-
Fr223,1320,At-219,6.00E-05,α
Fr224,199.8,Ra-224,1,β-
Fr227,148.2,Ra-227,1,β-
Ra219,0.01,Rn-215,1,α
Ra220,0.018,Rn-216,1,α
Ra221,28,Rn-217,1,α
Ra222,38,Rn-218,1,α
Ra223,987552,Rn-219,1,α
Ra224,313796.16,Rn-220,1,α
Ra225,1287360,Ac-225,1,β-
Ra226,50492160000,Rn-222,1,α
Ra227,2532,Ac-227,1,β-
Ra228,181456200,Ac-228,1,β-
Ra230,5580,Ac-230,1,β-
Ac223,126,Fr-219,0.99,α
Ac224,10008,Ra-224,0.909,EC
Ac224,10008,Fr-220,0.091,α
Ac225,857088,Fr-221,1,α
Ac226,105732,Th-226,0.83,β-
Ac226,105732,Ra-226,0.17,EC
Ac226,105732,Fr-222,6.00E-05,α
Ac227,687072067.2,Th-227,0.9862,β-
Ac227,687072067.2,Fr-223,0.0138,α
Ac228,22140,Th-228,1,β-
Ac230,122,Th-230,1,β-
Ac231,450,Th-231,1,β-
Ac232,119,Th-232,1,β-
Ac233,145,Th-233,1,β-
Th223,0.6,Ra-219,1,α
Th224,1.04,Ra-220,1,α
Th226,1834.2,Ra-222,1,α
Th227,1615420.8,Ra-223,1,α
Th228,60353910,Ra-224,1,α
Th229,2.50315E+11,Ra-225,1,α
Th230,2.37944E+12,Ra-226,1,α
Th231,91872,Pa-231,1,β-
Th232,4.42E+17,Ra-228,1,α
Th233,1309.8,Pa-233,1,β-
Th234,2082240,Pa-234m,1,β-
Th235,426,Pa-235,1,β-
Th236,2238,Pa-236,1,β-
Pa227,2298,Ac-223,0.85,α
Pa227,2298,Th-227,0.15,EC
Pa228,79200,Th-228,0.98,β+ & EC
Pa228,79200,Ac-224,0.02,α
Pa229,129600,Th-229,0.9952,EC
Pa229,129600,Ac-225,0.0048,α
Pa230,1503360,Th-230,0.916,EC
Pa230,1503360,U-230,0.084,β-
Pa230,1503360,Ac-226,3.20E-05,α
Pa231,1.03383E+12,Ac-227,1,α
Pa232,114048,U-232,1,β-
Pa232,114048,Th-232,3.00E-05,EC
Pa233,2330640,U-233,1,β-
Pa234,24120,U-234,1,β-
Pa235,1464,U-235m,0.9999,β-
Pa235,1464,U-235,0.00010109,β-
Pa236,546,U-236,1,β-
Pa237,522,U-237,1,β-
U227,66,Th-223,1,α
U228,546,Th-224,0.975,α
U230,1797120,Th-226,1,α
U231,362880,Pa-231,1,EC
U231,362880,Th-227,4.00E-05,α
U232,2174318640,Th-228,1,α
U233,5.02397E+12,Th-229,1,α
U234,7.74739E+12,Th-230,1,α
U235,2.22E+16,Th-231,1,α
U236,7.39079E+14,Th-232,1,α
U237,583200,Np-237,1,β-
U238,1.41E+17,Th-234,1,α
U238,1.41E+17,SF,5.45E-07,SF
U239,1407,Np-239,1,β-
U240,50760,Np-240m,1,β-
U242,1008,Np-242,1,β-
Np232,882,U-232,1,β+ & EC
Np233,2172,U-233,1,EC
Np233,2172,Pa-229,1.00E-05,α
Np234,380160,U-234,1,β+ & EC
Np235,34223040,U-235,0.99598,EC
Np235,34223040,U-235m,0.0039933,EC
Np235,34223040,Pa-231,2.60E-05,α
Np236,4.82831E+12,U-236,0.873,EC
Np236,4.82831E+12,Pu-236,0.125,β-
Np236,4.82831E+12,Pa-232,0.0016,α
Np237,6.76595E+13,Pa-233,1,α
Np238,182908.8,Pu-238,1,β-
Np239,203558.4,Pu-239,1,β-
Np240,3714,Pu-240,1,β-
Np241,834,Pu-241,1,β-
Np242,132,Pu-242,1,β-
Pu232,2028,Np-232,0.77,EC
Pu232,2028,U-228,0.23,α
Pu234,31680,Np-234,0.94,EC
Pu234,31680,U-230,0.06,α
Pu235,1518,Np-235,0.99997,EC
Pu235,1518,U-231,2.70E-05,α
Pu236,90191620.8,U-232,1,α
Pu236,90191620.8,SF,1.37E-09,SF
Pu237,3943296,Np-237,1,EC
Pu237,3943296,U-233,4.20E-05,α
Pu238,2767601520,U-234,1,α
Pu238,2767601520,SF,1.85E-09,SF
Pu239,7.60854E+11,U-235m,0.9994,α
Pu239,7.60854E+11,U-235,0.0006,α
Pu240,2.07049E+11,U-236,1,α
Pu240,2.07049E+11,SF,5.75E-08,SF
Pu241,452188850.4,Am-241,0.99998,β-
Pu241,452188850.4,U-237,2.45E-05,α
Pu242,1.18341E+13,U-238,1,α
Pu242,1.18341E+13,SF,5.54E-06,SF
Pu243,17841.6,Am-243,1,β-
Pu244,2.52461E+15,U-240,0.99879,α
Pu244,2.52461E+15,SF,0.00121,SF
Pu245,37800,Am-245,1,β-
Pu246,936576,Am-246m,1,β-
Am237,4416,Pu-237,0.99975,EC
Am237,4416,Np-233,0.00025,α
Am238,5880,Pu-238,1,β+ & EC
Am238,5880,Np-234,1.00E-06,α
Am239,42840,Pu-239,0.9999,EC
Am239,42840,Np-235,0.0001,α
Am240,182880,Pu-240,1,EC
Am240,182880,Np-236,1.90E-06,α
Am241,13651817760,Np-237,1,α
Am242,57672,Cm-242,0.827,β-
Am242,57672,Pu-242,0.173,EC
Am243,2.3239E+11,Np-239,1,α
Am244,36360,Cm-244,1,β-
Am245,7380,Cm-245,1,β-
Am246,2340,Cm-246,1,β-
Am247,1380,Cm-247,1,β-
Cm238,7920,Am-238,0.9616,EC
Cm238,7920,Pu-234,0.0384,α
Cm239,9720,Am-239,1,β+ & EC
Cm240,2332800,Pu-236,0.997,α
Cm240,2332800,SF,3.90E-08,SF
Cm241,2833920,Am-241,0.99,EC
Cm241,2833920,Pu-237,0.01,α
Cm242,14065920,Pu-238,1,α
Cm242,14065920,SF,6.37E-08,SF
Cm243,918326160,Pu-239,0.9976,α
Cm243,918326160,Am-243,0.0024,EC
Cm244,571192560,Pu-240,1,α
Cm244,571192560,SF,1.37E-06,SF
Cm245,2.6581E+11,Pu-241,1,α
Cm245,2.6581E+11,SF,6.10E-09,SF
Cm246,1.4851E+11,Pu-242,0.99974,α
Cm246,1.4851E+11,SF,0.000263,SF
Cm247,4.92299E+14,Pu-243,1,α
Cm248,1.0982E+13,Pu-244,0.9161,α
Cm248,1.0982E+13,SF,0.0839,SF
Cm249,3849,Bk-249,1,β-
Cm250,2.61928E+11,SF,0.74,SF
Cm250,2.61928E+11,Pu-246,0.18,α
Cm250,2.61928E+11,Bk-250,0.08,β-
Cm251,1008,Bk-251,1,β-
Bk245,427680,Cm-245,0.9988,EC
Bk245,427680,Am-241,0.0012,α
Bk246,155520,Cm-246,1,EC
Bk247,43549488000,Am-243,1,α
Bk249,28512000,Cf-249,1,β-
Bk249,28512000,Am-245,1.45E-05,α
Bk250,11563.2,Cf-250,1,β-
Bk251,3336,Cf-251,1,β-
Cf244,1164,Cm-240,1,α
Cf246,128520,Cm-242,1,α
Cf246,128520,SF,2.50E-06,SF
Cf247,11196,Bk-247,0.99965,EC
Cf247,11196,Cm-243,0.00035,α
Cf248,28814400,Cm-244,0.99997,α
Cf248,28814400,SF,2.90E-05,SF
Cf249,11076717600,Cm-245,1,α
Cf249,11076717600,SF,5.02E-09,SF
Cf250,412773408,Cm-246,0.99923,α
Cf250,412773408,SF,0.00077,SF
Cf251,28338724800,Cm-247,1,α
Cf252,83469852,Cm-248,0.96908,α
Cf252,83469852,SF,0.03092,SF
Cf253,1538784,Es-253,0.9969,β-
Cf253,1538784,Cm-249,0.0031,α
Cf254,5227200,SF,0.9969,SF
Cf254,5227200,Cm-250,0.0031,α
Cf255,5100,Es-255,1,β-
Es249,6132,Cf-249,0.9943,β+ & EC
Es249,6132,Bk-245,0.0057,α
Es250,30960,Cf-250,0.985,EC
Es251,118800,Cf-251,0.995,EC
Es251,118800,Bk-247,0.005,α
Es253,1768608,Bk-249,1,α
Es253,1768608,SF,8.90E-08,SF
Es254,23820480,Bk-250,1,α
Es254,23820480,Fm-254,1.74E-06,β-
Es254,23820480,SF,3.00E-08,SF
Es255,3438720,Fm-255,0.92,β-
Es255,3438720,Bk-251,0.08,α
Es255,3438720,SF,4.50E-05,SF
Es256,1524,Fm-256,1,β-
Fm251,19080,Es-251,0.982,β+ & EC
Fm251,19080,Cf-247,0.018,α
Fm252,91404,Cf-248,0.99998,α
Fm252,91404,SF,2.30E-05,SF
Fm253,259200,Es-253,0.88,EC
Fm253,259200,Cf-249,0.12,α
Fm254,11664,Cf-250,0.99941,α
Fm254,11664,SF,0.000592,SF
Fm255,72252,Cf-251,1,α
Fm255,72252,SF,2.30E-07,SF
Fm256,9456,SF,0.919,SF
Fm256,9456,Cf-252,0.081,α
Fm257,8683200,Cf-253,0.9979,α
Fm257,8683200,SF,0.0021,SF
